-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                flash_decode_gqa_varlen         0.00%       0.000us         0.00%       0.000us       0.000us      11.718ms      1832.57%      11.718ms       3.906ms             3  
                        _flash_decode_gqa_varlen_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     623.230us        97.47%     623.230us     207.743us             3  
                                          ProfilerStep*         1.39%     187.018us        99.57%      13.378ms       4.459ms       0.000us         0.00%      16.193us       5.398us             3  
                                flash_decode_gqa_varlen        87.37%      11.739ms        98.18%      13.191ms       4.397ms       0.000us         0.00%      16.193us       5.398us             3  
                                              aten::max         2.18%     292.953us         2.97%     399.400us     133.133us       7.489us         1.17%       7.489us       2.496us             3  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       7.489us         1.17%       7.489us       2.496us             3  
                                              aten::sub         0.82%     109.886us         1.37%     183.463us      61.154us       4.928us         0.77%       4.928us       1.643us             3  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.928us         0.77%       4.928us       1.643us             3  
                                             aten::item         0.15%      20.154us         0.99%     133.638us      44.546us       0.000us         0.00%       3.776us       1.259us             3  
                              aten::_local_scalar_dense         0.33%      43.764us         0.84%     113.484us      37.828us       3.776us         0.59%       3.776us       1.259us             3  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       3.776us         0.59%       3.776us       1.259us             3  
                                            aten::slice         4.52%     607.679us         4.63%     622.409us     103.735us       0.000us         0.00%       0.000us       0.000us             6  
                                       aten::as_strided         0.15%      19.822us         0.15%      19.822us       2.202us       0.000us         0.00%       0.000us       0.000us             9  
                                       cudaLaunchKernel         0.93%     124.635us         0.93%     124.635us      20.772us       0.000us         0.00%       0.000us       0.000us             6  
                                            aten::empty         0.37%      50.297us         0.37%      50.297us      16.766us       0.000us         0.00%       0.000us       0.000us             3  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 13.435ms
Self CUDA time total: 639.423us
